SO2,NO2,O3,CO,PM10,PM2.5,total_bad
0.005,0.036000000000000004,0.018000000000000002,0.5,32.0,20.0,0
0.005,0.028999999999999998,0.022000000000000002,0.6,82.0,67.0,0
0.004,0.032,0.022000000000000002,0.6,34.0,18.0,0
0.005,0.039,0.005,0.8,61.0,46.0,0
0.004,0.048,0.003,1.1,93.0,56.0,0
0.003,0.022000000000000002,0.013999999999999999,0.6,41.0,32.0,0
0.005,0.032,0.002,1.3,20.0,14.0,0
0.002,0.036000000000000004,0.012,0.4,30.0,13.0,0
0.004,0.02,0.042,0.3,44.0,26.0,0
0.003,0.025,0.013000000000000001,0.6,30.0,13.0,0
0.004,0.028999999999999998,0.057999999999999996,0.5,105.0,60.0,0
0.004,0.035,0.009000000000000001,0.5,58.0,20.0,0
0.003,0.040999999999999995,0.003,0.7,35.0,22.0,0
0.005,0.034,0.027000000000000003,0.4,37.0,16.0,0
0.006999999999999999,0.027000000000000003,0.01,0.5,60.0,17.0,0
0.004,0.042,0.015,0.6,60.0,32.0,0
0.006999999999999999,0.052000000000000005,0.002,0.9,62.0,41.0,0
0.008,0.037000000000000005,0.008,0.6,16.0,11.0,0
0.003,0.032,0.021,0.2,26.0,18.0,0
0.003,0.026000000000000002,0.013999999999999999,0.3,20.0,9.0,0
0.003,0.036000000000000004,0.012,0.3,35.0,17.0,0
0.006,0.03,0.019,0.4,18.0,13.0,0
0.002,0.006999999999999999,0.035,0.2,17.0,12.0,0
0.004,0.053,0.003,0.5,26.0,16.0,0
0.006999999999999999,0.034,0.004,0.5,13.0,10.0,0
0.004,0.006999999999999999,0.013999999999999999,0.2,8.0,7.0,0
0.003,0.032,0.003,0.7,30.0,21.0,0
0.004,0.023,0.053,0.7,37.0,17.0,0
0.005,0.057999999999999996,0.017,0.6,80.0,48.0,0
0.004,0.018000000000000002,0.07,0.3,36.0,25.0,0
0.006,0.012,0.026000000000000002,0.5,56.0,14.0,0
0.008,0.077,0.003,0.8,129.0,70.0,0
0.003,0.027999999999999997,0.01,0.2,15.0,10.0,0
0.004,0.027000000000000003,0.03,0.4,26.0,17.0,0
0.008,0.047,0.005,0.9,36.0,19.0,0
0.004,0.019,0.04,0.3,28.0,18.0,0
0.006,0.023,0.016,0.3,43.0,27.0,0
0.003,0.018000000000000002,0.039,0.5,63.0,40.0,0
0.005,0.04,0.006,0.4,54.0,32.0,0
0.002,0.016,0.03,0.3,9.0,8.0,0
0.003,0.055999999999999994,0.002,0.8,45.0,32.0,0
0.005,0.015,0.055,0.4,139.0,22.0,0
0.004,0.025,0.019,0.3,36.0,8.0,0
0.005,0.01,0.037000000000000005,0.2,5.0,4.0,0
0.003,0.057,0.015,0.7,151.0,52.0,0
0.006999999999999999,0.02,0.105,0.4,38.0,30.0,0
0.01,0.013999999999999999,0.022000000000000002,0.5,77.0,38.0,0
0.005,0.017,0.052000000000000005,0.5,32.0,22.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.006,0.031,0.017,0.5,38.0,18.0,0
0.006,0.057,0.008,0.8,99.0,67.0,0
0.005,0.033,0.006,0.5,44.0,30.0,0
0.003,0.017,0.015,0.3,22.0,14.0,0
0.004,0.035,0.051,0.3,16.0,5.0,0
0.002,0.027000000000000003,0.016,0.7,43.0,31.0,0
0.004,0.015,0.022000000000000002,0.5,30.0,13.0,0
0.005,0.033,0.002,0.5,32.0,29.0,0
0.004,0.032,0.057999999999999996,0.5,67.0,38.0,0
0.003,0.013000000000000001,0.034,0.5,47.0,32.0,0
0.003,0.015,0.011000000000000001,0.3,9.0,3.0,0
0.005,0.036000000000000004,0.013000000000000001,0.5,39.0,17.0,0
0.005,0.045,0.025,0.9,59.0,35.0,0
0.003,0.016,0.015,0.2,16.0,13.0,0
0.003,0.02,0.052000000000000005,0.3,28.0,23.0,0
0.003,0.022000000000000002,0.027000000000000003,0.5,38.0,12.0,0
0.003,0.005,0.019,0.2,15.0,13.0,0
0.004,0.01,0.054000000000000006,0.4,34.0,12.0,0
0.005,0.055,0.003,0.8,57.0,35.0,0
0.004,0.013999999999999999,0.054000000000000006,0.5,41.0,21.0,0
0.004,0.046,0.004,0.6,89.0,24.0,0
0.004,0.006,0.043,0.3,23.0,10.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0
0.006,0.025,0.083,0.6,70.0,37.0,0
0.004,0.017,0.022000000000000002,0.5,28.0,12.0,0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0
0.004,0.028999999999999998,0.018000000000000002,0.5,39.0,30.0,0
0.003,0.026000000000000002,0.01,0.4,14.0,11.0,0
0.005,0.032,0.027000000000000003,0.4,39.0,17.0,0
0.005,0.028999999999999998,0.013000000000000001,0.4,24.0,5.0,0
0.006,0.013999999999999999,0.035,0.4,23.0,14.0,0
0.005,0.04,0.003,0.3,30.0,13.0,0
0.003,0.017,0.08,0.6,39.0,20.0,0
0.003,0.006999999999999999,0.016,0.2,10.0,7.0,0
0.003,0.049,0.001,1.0,65.0,54.0,0
0.004,0.035,0.027000000000000003,0.4,26.0,14.0,0
0.003,0.039,0.028999999999999998,0.6,38.0,20.0,0
0.004,0.015,0.054000000000000006,0.2,73.0,26.0,0
0.003,0.013999999999999999,0.078,0.3,18.0,11.0,0
0.004,0.026000000000000002,0.004,0.5,29.0,26.0,0
0.009000000000000001,0.036000000000000004,0.052000000000000005,0.6,40.0,31.0,0
0.003,0.031,0.021,0.6,5.0,3.0,0
0.003,0.012,0.073,0.3,26.0,16.0,0
0.003,0.027000000000000003,0.009000000000000001,0.3,39.0,19.0,0
0.005,0.027999999999999997,0.028999999999999998,0.5,49.0,27.0,0
